Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Aruba;ABW;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.636815920398;24.7761194029851;25.1741293532338;42.1890547263682;56.4179104477612;2.88557213930347;70.6467661691542;74.726368159204;77.0646766169154;33.7810945273632;35.273631840796;47.7611940298507;70.3482587064676;73.8308457711443;91.6915422885572;111.044776119403;127.910447761194;126.119402985075;145.422885572139;140.199004975124;44.6268656716418;86.7661691542289;105.373134328358;119.452736318408;130.099502487562;141.492537313433;132.388059701493;131.492537313433;153.482587064677;143.134328358209;152.437810945274;166.417910447761;167.213930348259;176.616915422886;
Africa Eastern and Southern;AFE;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.05656987193697;-3.72981982722203;-3.70646502631774;-1.50860389280146;3.71198669304737;7.58386394613177;11.9659801922755;14.028705797935;10.6302916523231;12.290358298048;15.4093602554656;19.0025122262647;25.2022607658631;34.8672382604478;38.6914812306923;41.1371568805912;47.2253888878174;55.4511399864045;48.436773877708;52.2981626059519;50.4099111011657;55.6403561448621;62.0757398306883;67.9786921787044;64.7533254832317;65.9548824347327;68.5541079747398;70.8579903933567;73.1378839440764;62.1412865060769;66.8176098369153;63.415285611514;63.6330612041091;67.6067062095501;
Afghanistan;AFG;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.58561408334479;-37.7424013203136;-39.0420849951864;-42.4528950625774;-50.0550130656031;-51.6710218676936;-52.7747214963554;-51.5438041534864;-53.125429789575;-65.2970705542566;-67.6729473249897;-67.7210837573924;-65.0254435428414;-68.9726309998625;-56.1167652317425;-51.2274790262687;-29.0262687388255;34.1940585889149;112.003163251272;170.54050336955;296.200660156787;239.856966029432;189.805391280429;173.648741576124;189.753816531426;161.714344656856;257.488653555219;306.061752166139;316.194471186907;317.535414660982;329.321963966442;288.461009489754;300.515747490029;314.949800577637;
Africa Western and Central;AFW;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.09115532158533;13.7112897561052;11.9580371275883;8.4622337066977;18.3552056163236;36.9579155158139;36.3323445485333;31.3721407855732;33.2348440110093;42.5444685614106;51.2253115936883;41.6944509033809;53.7581443405285;52.670837788378;54.0000058373652;46.8791986465096;42.2232188982752;50.816598742437;43.3857301716867;61.4678443875193;72.1974080152861;75.5266519500205;92.0259646002718;102.563381624558;104.029922333856;114.403601265152;110.241462610217;122.788003436262;132.676208164334;130.080331873668;148.831408137871;152.368364983203;144.826100027144;154.834068030599;
Angola;AGO;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.89457563129965;7.90860846956583;8.11162161199559;2.31239092495636;15.3408483812373;39.6053709441892;46.0465861737365;51.6944474124728;60.5540121807886;47.0242547280692;44.1776186914556;41.712967909677;54.3051251914378;57.5159383124978;39.2500979449371;45.3173415963244;51.867186665242;70.2416568721729;87.777362253802;102.47800690957;110.58250525341;120.07515047904;154.071838159348;175.023150621505;194.605014780781;178.473483634291;149.270755422588;129.851836022367;140.377355130534;82.8721017202693;127.624924315276;137.595718915839;143.402072871033;150.208355593546;
Albania;ALB;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-34.0927901762201;-64.4369535447172;-66.549788566011;-64.7213736437375;-68.8462175136567;-69.0719477509744;-76.2140524597072;-71.1832779040195;-53.5462220282614;-51.3491143850356;-48.2385517147974;-39.7044438759387;-36.6209688341786;-33.569096025643;-37.5645212261666;-37.7721930444989;-36.1032941565966;-36.8707769634768;-35.5374636950535;-31.2726670779973;-24.7460534830176;-31.701554528901;-28.2132699282178;-23.218612210501;-26.6286436622474;-31.7060691336474;-19.3194985778995;-19.728822741569;-24.9973664805646;-31.2636378685046;-23.0681253856225;-31.9212652932236;-36.4554333268122;-36.1379061263187;
Andorra;AND;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.93565209051075;9.69909184937925;17.3535274834121;24.6474766390553;28.3515399603443;31.695457233915;37.9322655453966;39.6847878406453;41.9864988155973;47.441633901448;56.2605792531484;61.5704688529618;66.3737976136698;75.6475879450835;88.0778662634388;97.5422681681928;105.50662892524;120.680467627411;128.474716658072;141.93701795757;148.778120313528;166.453621205456;172.076929042999;182.189318528842;188.635536107261;192.233222244391;196.819844680726;194.947579597131;197.831501026917;189.814506727798;203.442375744285;211.732321435232;221.381458783911;230.048128016142;
United Arab Emirates;ARE;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.7720698359572;9.90514628847059;15.867254023724;27.5647065441326;36.0621646896688;42.1940809596467;48.1897636743332;52.0157292626161;56.7167537389519;55.4941674459812;77.998896068739;81.9700602591777;91.2887870115807;102.187647220132;115.268881091837;123.593893924159;141.079075229048;188.730584521056;190.637854295136;202.267805286214;211.591981380828;225.220786252189;242.875072950872;248.254804210408;263.615093623215;273.421448610945;259.344918752065;229.219900294616;247.790028055323;243.966347675065;250.552668771402;243.104648464692;238.731815017684;252.553104718779;
Argentina;ARG;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.39543573682728;7.3163745386533;11.0699250866803;14.4691693663806;16.0568606668144;26.3446172394452;30.6944003640871;37.7603652049287;39.6575505160895;36.488854822258;31.0699650085133;23.7727529497244;34.9312047011951;49.3738260485968;53.3286824397829;62.2436269783763;72.7479594953082;78.873864972384;64.4983123045078;76.9696933404394;84.4730018623535;88.4674806728426;92.8014946734294;89.6550554015238;95.8104032304747;93.7610159308075;90.9996227386777;89.4461644100851;82.9105611213244;67.7868733020745;85.3131568389094;94.6599558065308;89.5197203874813;82.9138546725511;
